PRODUCTO,COLOR,GENERO
37082879,30,M
37082878,99,A
37082877,BL,M
37082524,08,U
37082523,TO,M
37082522,40,M
37082520,TM,A
37082519,32,M
37082518,30,P
37082518,56,P
37082517,81,A
37082517,92,A
37082516,20,H
37082516,37,H
37082516,08,H
37082516,56,H
37082515,02,E
37082515,05,E
37082513,94,E
37082513,85,E
37082512,61,M
37082511,37,O
37082511,08,O
37082511,56,O
37082511,49,O
37082511,04,O
37082510,32,M
37082509,99,M
37082508,95,A
37082508,82,A
37082507,32,M
37082507,37,M
37082506,50,M
37082506,05,M
37082505,50,O
37082505,01,O
37082504,99,M
37082503,02,D
37082502,92,E
37082007,88,M
37082007,43,M
37082006,99,M
37082006,01,M
37082005,08,Q
37082005,TN,Q
37082004,TM,Q
37082004,TN,Q
37082003,99,M
37082003,68,M
37082002,01,M
37082002,99,M
37082001,99,A
37081505,99,M
37081504,02,A
37081503,05,U
37081503,83,U
37081503,30,U
37081502,PL,Q
37081501,91,E
37081324,37,H
37081323,99,M
37081321,79,Q
37081320,35,U
37081319,40,F
37081318,12,M
37081317,01,M
37081316,43,U
37081316,52,U
37081316,68,U
37081316,08,U
37081313,20,H
37081313,01,H
37081312,23,M
37081311,01,M
37081310,43,H
37081308,12,M
37081307,70,M
37081306,20,M
37081305,99,H
37081304,61,M
37081303,85,M
37081301,85,M
37081300,61,M
37081299,21,M
37081298,81,M
37081297,76,M
37081297,08,M
37081296,05,U
37081295,43,M
37081293,07,E
37081292,TC,H
37081291,70,Q
37081290,TM,H
37081289,99,M
37081288,43,A
37081286,07,M
37081285,99,H
37081284,46,M
37081282,45,M
37081281,01,A
37081279,07,M
37081278,TM,M
37081277,TC,M
37081275,01,M
37081274,05,M
37081273,56,H
37081273,37,H
37081272,05,A
37081271,43,M
37081271,99,M
37081271,05,M
37081270,56,M
37081270,01,M
37081270,50,M
37079203,56,H
37079102,30,M
37079100,99,M
37079096,99,M
37079089,99,M
37079086,56,M
37079073,99,M
37079069,92,M
37079067,05,M
37079067,52,M
37079064,70,A
37079063,99,A
37079062,30,U
37078261,56,M
37078261,02,M
37078260,09,M
37078258,99,M
37078255,05,M
37077880,05,M
37077878,69,Q
37077877,CU,H
37077877,99,H
37077768,02,M
37077765,70,M
37077764,99,M
37077763,43,M
37077762,99,M
37077759,30,M
37077757,43,M
37077757,05,M
37077756,43,M
37077756,07,M
37077755,57,M
37077754,85,A
37077753,37,A
37077752,07,M
37077752,25,M
37077751,49,P
37077750,02,M
37077749,37,O
37077747,99,M
37077745,37,A
37077744,20,U
37077743,56,A
37077742,99,M
37077739,99,H
37077737,TM,E
37077736,99,M
37077735,30,M
37077733,TG,D
